"contrast","treatment","estimate","SE","df","t.ratio","p.value"
"25C - 32C","Apo",-1.39464448994477,0.182618265476092,64,-7.6369386507362,1.40784591018859e-10
"25C - 32C","Sym",-0.451972341232538,0.167621757910965,64,-2.69638230063552,0.00894769750087746
