"contrast","temperature","estimate","SE","df","t.ratio","p.value"
"Apo - Sym","25C",-0.763869516463104,0.176987056036321,64,-4.3159626108835,5.62492594428092e-05
"Apo - Sym","32C",0.178802632249131,0.173557098979716,64,1.03022367451548,0.306782749911718
