"Term","Estimate","SE","z","p"
"(Intercept)",1.74919985480927,0.383065438841437,4.56632125335985,4.96357901952616e-06
"temp_label32°C",1.46967571988426,0.816324580138362,1.80035705850627,0.0718042766897341
"sym_stateSymbiotic",-1.7075271584087,0.434078206599651,-3.93368552589774,8.36532151875804e-05
"temp_label32°C:sym_stateSymbiotic",-1.67169106636001,0.865059667364838,-1.93245752799035,0.053303059409304
