"Day","Contrast","Estimate","SE","df","t_ratio","p_value"
"0","(Sym-Control) - (Sym-HS)",-1.46,1.98,317,-0.735,"0.4630569"
"1","(Sym-Control) - (Sym-HS)",4.17,1.98,317,2.103,"0.0362306"
"5","(Sym-Control) - (Sym-HS)",7.88,2.11,317,3.735,"0.0002226"
"7","(Sym-Control) - (Sym-HS)",7.79,2.22,317,3.516,"0.0005026"
"9","(Sym-Control) - (Sym-HS)",6.86,2.14,317,3.205,"0.0014865"
"11","(Sym-Control) - (Sym-HS)",6.87,2.2,317,3.126,"0.0019365"
"13","(Sym-Control) - (Sym-HS)",15.21,2.21,317,6.896,"< 1e-04"
"14","(Sym-Control) - (Sym-HS)",18.09,2.45,317,7.395,"< 1e-04"
