"contrast","day","estimate","SE","df","t.ratio","p.value"
"(inoc-25C) - (inoc-32C)","7",14.325367792911,3.6017028674742,262,3.97738745255159,9.02109850865199e-05
"(inoc-25C) - (inoc-32C)","10",14.5654001717667,2.96973241989631,262,4.90461702010018,1.64492569760119e-06
"(inoc-25C) - (inoc-32C)","12",18.4882250740456,2.79519065891402,262,6.61429838965928,2.08872635452819e-10
"(inoc-25C) - (inoc-32C)","14",21.9527493716803,2.96324816419127,262,7.40833982012156,1.75870696716194e-12
"(inoc-25C) - (inoc-32C)","16",23.550281167936,2.92378903761589,262,8.05471286229982,2.81827673752549e-14
"(inoc-25C) - (inoc-32C)","18",25.7255336673015,2.92378903761589,262,8.79869694301835,1.90230569510252e-16
"(inoc-25C) - (inoc-32C)","20",22.1291972936905,3.6536115897161,262,6.05680071630437,4.79990795881873e-09
"(inoc-25C) - (inoc-32C)","21",21.465892577143,5.7001927262193,262,3.76581873774301,0.000205000633424766
