"Factor","Sum Sq","Df","F value","Pr(>F)"
"treatment",1.34956209248985,1,5.22702883731715,0.0255578219269785
"temperature",13.2015837311607,1,51.1314442255297,1.01174309989126e-09
"treatment:temperature",3.7338965831386,1,14.4618652407594,0.00032181360816957
"Residuals",16.524105109717,64,NA,NA
