"contrast","day","estimate","SE","df","t.ratio","p.value"
"(Sym-Control) - (Sym-HS)","0",-1.45661453788886,1.98255998946676,317,-0.734713978708226,0.463056852650968
"(Sym-Control) - (Sym-HS)","1",4.16984482702084,1.98255998946676,317,2.10326287687384,0.0362306216737032
"(Sym-Control) - (Sym-HS)","5",7.87685812494425,2.10896205955791,317,3.7349453913815,0.000222580857512939
"(Sym-Control) - (Sym-HS)","7",7.7927655527605,2.21656945295947,317,3.51568751538823,0.000502562771056953
"(Sym-Control) - (Sym-HS)","9",6.86392416947171,2.14140953512871,317,3.20532997395996,0.00148650858935101
"(Sym-Control) - (Sym-HS)","11",6.86654702708451,2.19663843020303,317,3.1259341240105,0.00193651552837384
"(Sym-Control) - (Sym-HS)","13",15.2129129962324,2.20598910876402,317,6.89618681062118,2.90196482537281e-11
"(Sym-Control) - (Sym-HS)","14",18.0928028468237,2.44673681295535,317,7.39466654158439,1.27509787254966e-12
